query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,0.02,1354844418430,1354844418430,1354844418438,1,1,96,0,localhost.localdomain:58747,bixi.qt.de.1,,1354844221372.62787b803f017d9964ea908c010054c9.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,0.04,1354844419772,1354844419772,1354844419777,1,1,96,0,localhost.localdomain:58747,bixi.qt.de.1,,1354844221372.62787b803f017d9964ea908c010054c9.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,0.06,1354844421070,1354844421071,1354844421076,1,1,96,0,localhost.localdomain:58747,bixi.qt.de.1,,1354844221372.62787b803f017d9964ea908c010054c9.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,0.08,1354844422499,1354844422499,1354844422504,1,1,96,0,localhost.localdomain:58747,bixi.qt.de.1,,1354844221372.62787b803f017d9964ea908c010054c9.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,0.1,1354844423828,1354844423828,1354844423833,1,1,96,0,localhost.localdomain:58747,bixi.qt.de.1,,1354844221372.62787b803f017d9964ea908c010054c9.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,0.2,1354844425159,1354844425160,1354844425164,1,1,96,0,localhost.localdomain:58747,bixi.qt.de.1,,1354844221372.62787b803f017d9964ea908c010054c9.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,0.4,1354844426435,1354844426435,1354844426439,3,5,98,0,localhost.localdomain:58747,bixi.qt.de.1,,1354844221372.62787b803f017d9964ea908c010054c9.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,0.6,1354844427782,1354844427783,1354844427788,3,5,98,0,localhost.localdomain:58747,bixi.qt.de.1,,1354844221372.62787b803f017d9964ea908c010054c9.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,0.8,1354844429085,1354844429085,1354844429090,3,5,98,0,localhost.localdomain:58747,bixi.qt.de.1,,1354844221372.62787b803f017d9964ea908c010054c9.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,1.0,1354844430343,1354844430343,1354844430348,3,5,98,0,localhost.localdomain:58747,bixi.qt.de.1,,1354844221372.62787b803f017d9964ea908c010054c9.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,2.0,1354844431671,1354844431673,1354844431678,14,38,99,10,localhost.localdomain:58747,bixi.qt.de.1,,1354844221372.62787b803f017d9964ea908c010054c9.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,3.0,1354844432943,1354844432946,1354844432951,20,53,99,26,localhost.localdomain:58747,bixi.qt.de.1,,1354844221372.62787b803f017d9964ea908c010054c9.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,4.0,1354844434200,1354844434203,1354844434215,30,83,99,47,localhost.localdomain:58747,bixi.qt.de.1,,1354844221372.62787b803f017d9964ea908c010054c9.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,5.0,1354844435493,1354844435527,1354844435533,56,162,99,73,localhost.localdomain:58747,bixi.qt.de.1,,1354844221372.62787b803f017d9964ea908c010054c9.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,6.0,1354844436969,1354844436994,1354844437001,56,162,99,116,localhost.localdomain:58747,bixi.qt.de.1,,1354844221372.62787b803f017d9964ea908c010054c9.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,8.0,1354844438392,1354844438408,1354844438417,107,300,99,203,localhost.localdomain:58747,bixi.qt.de.1,,1354844221372.62787b803f017d9964ea908c010054c9.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,10.0,1354844439722,1354844439736,1354844439743,176,487,99,324,localhost.localdomain:58747,bixi.qt.de.1,,1354844221372.62787b803f017d9964ea908c010054c9.
query,method,param,copStart,copEnd,reachClient,scannedRow,scannedCell,kvLength,accpted,RS,region,
within,cop,12.0,1354844441103,1354844441132,1354844441143,227,618,99,473,localhost.localdomain:58747,bixi.qt.de.1,,1354844221372.62787b803f017d9964ea908c010054c9.
